Incident_no,Day,Date,Time,Duration,Location,Station,Result_code,Result_Description
F3575555,Mon,2022-10-10,08:00:00,00:00:00,Paparangi Wellington City,Johnsonville,7100, False Alarm (Stru)
F3575568,Mon,2022-10-10,08:30:00,00:12:01,Te Aro Wellington City,Thorndon,7100, False Alarm (Stru)
F3575643,Mon,2022-10-10,10:00:00,00:21:23,Karori Wellington City,Karori,7100, False Alarm (Stru)
F3575685,Mon,2022-10-10,10:30:00,00:00:00,Kilbirnie Wellington City,Kilbirnie,3100," Rescue,Emergency,Medical Call (Med)"
F3575701,Mon,2022-10-10,11:00:00,00:08:30,Newtown Wellington City,Newtown,7100, False Alarm (Stru)
F3575719,Mon,2022-10-10,11:30:00,00:08:24,Wellington Central Wellington City,Brooklyn,7100, False Alarm (Stru)
F3575746,Mon,2022-10-10,12:00:00,00:12:24,Te Aro Wellington City,Brooklyn,7100, False Alarm (Stru)
F3576030,Mon,2022-10-10,20:30:00,00:20:52,Brooklyn Wellington City,Brooklyn,3100," Rescue,Emergency,Medical Call (Min)"
F3576142,Tue,2022-10-11,06:00:00,00:24:25,Tawa Wellington City,Tawa,7100, False Alarm (Stru)
F3576159,Tue,2022-10-11,07:30:00,00:14:15,Newtown Wellington City,Newtown,7100, False Alarm (Stru)
F3576192,Tue,2022-10-11,08:30:00,00:00:00,Te Aro Wellington City,Wellington City,9900, Non-Fire Event Excl Rescue/False Alarm (Nat1)
F3576194,Tue,2022-10-11,08:30:00,00:09:48,Paparangi Wellington City,Johnsonville,7100, False Alarm (Stru)
F3576309,Tue,2022-10-11,10:30:00,00:15:11,Newtown Wellington City,Newtown,7100, False Alarm (Stru)
F3576399,Tue,2022-10-11,12:00:00,00:09:41,Newtown Wellington City,Newtown,7100, False Alarm (Stru)
F3576449,Tue,2022-10-11,13:00:00,00:09:09,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3576466,Tue,2022-10-11,13:30:00,00:12:30,Miramar Wellington City,Kilbirnie,7100, False Alarm (Stru)
F3576484,Tue,2022-10-11,14:00:00,00:14:03,Kilbirnie Wellington City,Kilbirnie,NA,NA
F3572724,Wed,2022-10-05,09:00:00,00:09:03,Lyall Bay Wellington City,Kilbirnie,7100, False Alarm (Stru)
F3572795,Wed,2022-10-05,10:30:00,00:00:00,Miramar Wellington City,Kilbirnie,1500, Miscellaneous Fire (Min)
F3572837,Wed,2022-10-05,11:00:00,00:00:00,Khandallah Wellington City,Johnsonville,3100," Rescue,Emergency,Medical Call (Med)"
F3572902,Wed,2022-10-05,12:30:00,00:09:50,Grenada Village Wellington City,Johnsonville,7100, False Alarm (Stru)
F3572912,Wed,2022-10-05,13:00:00,00:07:41,Rongotai Wellington City,Kilbirnie,7100, False Alarm (Stru)
F3573032,Wed,2022-10-05,16:30:00,16:14:20,Kilbirnie Wellington City,Wellington City,9900, Non-Fire Event Excl Rescue/False Alarm (Exercise)
F3573094,Wed,2022-10-05,19:00:00,00:00:00,Kaiwharawhara Wellington City,Wellington City,1100, Structure Fire (Stru)
F3573226,Wed,2022-10-05,23:30:00,00:00:00,Grenada North Wellington City,Porirua,3100," Rescue,Emergency,Medical Call (Resc)"
F3573234,Thu,2022-10-06,00:00:00,01:06:22,Thorndon Wellington City,Wellington City,1100, Structure Fire (Stru)
F3573262,Thu,2022-10-06,04:30:00,00:08:01,Pipitea Wellington City,Wellington City,7100, False Alarm (Sprnklr)
F3573343,Thu,2022-10-06,09:30:00,00:06:06,Miramar Wellington City,Kilbirnie,7100, False Alarm (Min)
F3573492,Thu,2022-10-06,13:00:00,00:14:17,Johnsonville Wellington City,Johnsonville,7100, False Alarm (Sprnklr)
F3573526,Thu,2022-10-06,13:30:00,00:12:32,Thorndon Wellington City,Thorndon,7100, False Alarm (Min)
F3573539,Thu,2022-10-06,14:00:00,00:00:00,Wellington Central Wellington City,Wellington City,3100," Rescue,Emergency,Medical Call (Med)"
F3573614,Thu,2022-10-06,15:30:00,00:00:00,Mount Victoria Wellington City,Trentham,3100," Rescue,Emergency,Medical Call (Min)"
F3573688,Thu,2022-10-06,18:00:00,00:15:48,Johnsonville Wellington City,Johnsonville,7100, False Alarm (Min)
F3573728,Thu,2022-10-06,19:00:00,00:19:56,Wilton Wellington City,Karori,7100, False Alarm (Min)
F3573734,Thu,2022-10-06,19:30:00,00:00:00,Churton Park Wellington City,Johnsonville,3100," Rescue,Emergency,Medical Call (Med)"
F3573827,Fri,2022-10-07,00:30:00,00:15:21,Johnsonville Wellington City,Johnsonville,7100, False Alarm (Stru)
F3573886,Fri,2022-10-07,08:00:00,00:04:35,Kilbirnie Wellington City,Kilbirnie,7100, False Alarm (Stru)
F3573894,Fri,2022-10-07,08:00:00,00:13:49,Thorndon Wellington City,Wellington City,7100, False Alarm (Sprnklr)
F3573952,Fri,2022-10-07,09:30:00,00:13:36,Wellington Central Wellington City,Wellington City,7100, False Alarm (Sprnklr)
F3573989,Fri,2022-10-07,10:00:00,00:12:03,Paparangi Wellington City,Johnsonville,7100, False Alarm (Stru)
F3574110,Fri,2022-10-07,12:00:00,00:25:15,Mount Cook Wellington City,Trentham,7100, False Alarm (Stru)
F3574144,Fri,2022-10-07,12:30:00,00:00:00,Wellington Central Wellington City,Wellington City,3100," Rescue,Emergency,Medical Call (Resc)"
F3574145,Fri,2022-10-07,12:30:00,00:00:00,Johnsonville Wellington City,Thorndon,9900, Non-Fire Event Excl Rescue/False Alarm (Min)
F3574163,Fri,2022-10-07,13:30:00,00:09:05,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574166,Fri,2022-10-07,13:30:00,00:06:17,Pipitea Wellington City,Thorndon,7100, False Alarm (Stru)
F3574223,Fri,2022-10-07,14:30:00,00:21:27,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574294,Fri,2022-10-07,16:00:00,00:10:01,Te Aro Wellington City,Wellington City,7100, False Alarm (Sprnklr)
F3574350,Fri,2022-10-07,18:00:00,00:00:00,Karori Wellington City,Karori,1500, Miscellaneous Fire (Min)
F3574456,Fri,2022-10-07,22:30:00,00:10:33,Mount Victoria Wellington City,Wellington City,7100, False Alarm (Stru)
F3574462,Fri,2022-10-07,22:30:00,00:08:55,Thorndon Wellington City,Thorndon,7100, False Alarm (Stru)
F3574469,Fri,2022-10-07,23:00:00,00:04:59,Thorndon Wellington City,Thorndon,7100, False Alarm (Stru)
F3574485,Sat,2022-10-08,00:30:00,00:13:04,Johnsonville Wellington City,Johnsonville,7100, False Alarm (Sprnklr)
F3574499,Sat,2022-10-08,01:30:00,00:16:54,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574512,Sat,2022-10-08,03:00:00,00:38:08,Te Aro Wellington City,Wellington City,1100, Structure Fire (Stru)
F3574517,Sat,2022-10-08,03:00:00,00:10:56,Mount Victoria Wellington City,Trentham,7100, False Alarm (Stru)
F3574538,Sat,2022-10-08,05:30:00,00:15:46,Rongotai Wellington City,Kilbirnie,7100, False Alarm (Sprnklr)
F3574642,Sat,2022-10-08,10:30:00,00:15:38,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574751,Sat,2022-10-08,12:30:00,00:07:25,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574837,Sat,2022-10-08,16:00:00,00:00:00,Wellington Central Wellington City,Wellington City,3100," Rescue,Emergency,Medical Call (Med)"
F3574872,Sat,2022-10-08,17:30:00,00:00:00,Tawa Wellington City,Porirua,3100," Rescue,Emergency,Medical Call (Resc)"
F3574921,Sat,2022-10-08,19:00:00,00:00:00,Berhampore Wellington City,Trentham,1500, Miscellaneous Fire (Stru)
F3574930,Sat,2022-10-08,20:00:00,00:07:20,Miramar Wellington City,Kilbirnie,7100, False Alarm (Min)
F3574996,Sat,2022-10-08,23:00:00,00:09:54,Wellington Central Wellington City,Thorndon,7100, False Alarm (Stru)
F3575002,Sat,2022-10-08,23:30:00,00:15:39,Wellington Central Wellington City,Wellington City,7100, False Alarm (Sprnklr)
F3575004,Sat,2022-10-08,23:30:00,00:00:00,Churton Park Wellington City,Johnsonville,3100," Rescue,Emergency,Medical Call (Med)"
F3575011,Sun,2022-10-09,00:00:00,00:00:00,Northland Wellington City,Karori,1500, Miscellaneous Fire (Min)
F3575013,Sun,2022-10-09,00:00:00,00:00:00,Brooklyn Wellington City,Brooklyn,3100," Rescue,Emergency,Medical Call (Resc)"
F3575029,Sun,2022-10-09,01:30:00,00:00:00,Maupuia Wellington City,Kilbirnie,3100," Rescue,Emergency,Medical Call (Min)"
F3575066,Sun,2022-10-09,04:00:00,00:15:13,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3575126,Sun,2022-10-09,08:30:00,00:09:27,Mount Cook Wellington City,Newtown,7100, False Alarm (Sprnklr)
F3575145,Sun,2022-10-09,09:00:00,00:14:10,Newtown Wellington City,Newtown,7100, False Alarm (Stru)
F3575233,Sun,2022-10-09,12:00:00,00:00:00,Tawa Wellington City,Tawa,3100," Rescue,Emergency,Medical Call (Min)"
F3575446,Sun,2022-10-09,21:30:00,00:00:00,Te Aro Wellington City,Wellington City,3100," Rescue,Emergency,Medical Call (Min)"
